iter	Passed	Remaining
401	18983	152247
402	19022	152129
403	19050	151935
404	19092	151845
405	19127	151704
406	19170	151621
407	19201	151447
408	19232	151272
409	19273	151175
410	19306	151023
411	19335	150835
412	19378	150758
413	19419	150663
414	19465	150613
415	19507	150528
416	19548	150432
417	19592	150368
418	19634	150279
419	19666	150121
420	19695	149936
421	19735	149838
422	19778	149761
423	19811	149616
424	19845	149472
425	19882	149349
426	19918	149228
427	19957	149124
428	19990	148976
429	20023	148822
430	20054	148661
431	20084	148498
432	20124	148400
433	20149	148192
434	20198	148170
435	20236	148058
436	20274	147951
437	20310	147830
438	20349	147729
439	20389	147641
440	20434	147580
441	20462	147407
442	20504	147325
443	20540	147203
444	20582	147127
445	20618	147011
446	20654	146891
447	20686	146745
448	20729	146679
449	20770	146593
450	20801	146443
451	20843	146368
452	20891	146335
453	20922	146178
454	20956	146047
455	21004	146018
456	21036	145875
457	21062	145691
458	21120	145729
459	21158	145623
460	21206	145590
461	21245	145498
462	21283	145397
463	21323	145309
464	21350	145137
465	21376	144957
466	21419	144892
467	21471	144884
468	21513	144813
469	21544	144666
470	21586	144596
471	21617	144455
472	21661	144393
473	21697	144285
474	21729	144147
475	21786	144172
476	21822	144061
477	21861	143972
478	21906	143924
479	21941	143810
480	21985	143750
481	22041	143772
482	22118	143929
483	22146	143767
484	22183	143665
485	22228	143619
486	22273	143563
487	22323	143546
488	22371	143514
489	22405	143392
490	22439	143275
491	22471	143143
492	22509	143044
493	22554	142999
494	22599	142947
495	22637	142856
496	22673	142744
497	22713	142667
498	22753	142586
499	22794	142510
500	22837	142451
501	22878	142378
502	22921	142312
503	22952	142180
504	22993	142104
505	23031	142015
506	23061	141870
507	23105	141813
508	23144	141731
509	23190	141691
510	23224	141573
511	23252	141422
512	23285	141302
513	23322	141206
514	23356	141088
515	23394	141000
516	23443	140975
517	23486	140918
518	23527	140845
519	23561	140736
520	23602	140661
521	23649	140628
522	23677	140481
523	23721	140429
524	23767	140388
525	23801	140273
526	23843	140208
527	23881	140124
528	23923	140060
529	23953	139922
530	23988	139818
531	24033	139771
532	24061	139626
533	24106	139581
534	24141	139479
535	24187	139438
536	24214	139292
537	24260	139247
538	24298	139162
539	24326	139021
540	24377	139012
541	24419	138950
542	24465	138907
543	24519	138911
544	24568	138888
545	24598	138762
546	24630	138640
547	24668	138555
548	24703	138459
549	24741	138371
550	24777	138276
551	24811	138169
552	24845	138065
553	24891	138025
554	24920	137893
555	24952	137775
556	24989	137687
557	25032	137631
558	25069	137548
559	25116	137510
560	25158	137449
561	25189	137330
562	25237	137306
563	25268	137185
564	25304	137090
565	25345	137024
566	25376	136905
567	25415	136834
568	25447	136717
569	25485	136635
570	25529	136587
571	25559	136466
572	25595	136377
573	25627	136263
574	25662	136169
