model,outlier_method,fold,train_score,validation_score
Ridge,isolationForest,6,0.5259278390680948,0.37114060005818883
Ridge,isolationForest,7,0.48501928565970964,0.3368528045208392
Ridge,isolationForest,8,0.49925791264032127,0.43514490168314124
Ridge,isolationForest,9,0.5145001745958109,0.35456670597405704
RandomForestRegressor,zscore,0,0.9291628973768511,0.4680123735330415
RandomForestRegressor,zscore,1,0.9253461682720442,0.610154156750772
RandomForestRegressor,zscore,2,0.9302765720304367,0.4525259537921471
RandomForestRegressor,zscore,3,0.9287809049143476,0.4982152772172146
RandomForestRegressor,zscore,4,0.9318501726159106,0.41540682804949236
RandomForestRegressor,zscore,5,0.9305756944712991,0.4837054054804548
RandomForestRegressor,zscore,6,0.931246994736405,0.3487727882968237
RandomForestRegressor,zscore,7,0.9261495904912599,0.5297540946460506
RandomForestRegressor,zscore,8,0.9262894891643442,0.4898303726910693
RandomForestRegressor,zscore,9,0.9292338887445784,0.491519713179984
RandomForestRegressor,knn,0,0.9266980949290018,0.447832684796023
RandomForestRegressor,knn,1,0.9264153709674882,0.6247173417169292
RandomForestRegressor,knn,2,0.9286563638699626,0.3915502455174762
RandomForestRegressor,knn,3,0.9280380457181985,0.500079556631837
RandomForestRegressor,knn,4,0.9293505064505957,0.41710630256407066
RandomForestRegressor,knn,5,0.927201673528981,0.5488758930338729
RandomForestRegressor,knn,6,0.9307109440896006,0.2917132766448971
RandomForestRegressor,knn,7,0.9279242927480522,0.5417806303265875
RandomForestRegressor,knn,8,0.9255109274287459,0.48249244264018265
RandomForestRegressor,knn,9,0.9278483568880239,0.4857186430368713
RandomForestRegressor,isolationForest,0,0.9286331010992512,0.46214407438993166
RandomForestRegressor,isolationForest,1,0.9262492255654897,0.6140783675378806
RandomForestRegressor,isolationForest,2,0.9303949528291817,0.4741341214067286
RandomForestRegressor,isolationForest,3,0.9295640765021064,0.47220562207572847
RandomForestRegressor,isolationForest,4,0.9317559252414934,0.41031364678186766
RandomForestRegressor,isolationForest,5,0.9258879573256342,0.51725310911781
RandomForestRegressor,isolationForest,6,0.9310250949526637,0.35377432226991967
RandomForestRegressor,isolationForest,7,0.9231156376170037,0.5163263708415102
RandomForestRegressor,isolationForest,8,0.9240741406611288,0.48706052648582376
RandomForestRegressor,isolationForest,9,0.9270777856293809,0.49614492917005126
